Time period:,7days
Total Problem Count,528

Problem Name,Problem Count,Problems/Day
Failure rate increase,180,25.714285714285715
Response time degradation,32,4.571428571428571
CPU saturation,31,4.428571428571429
JavaScript error rate increase,31,4.428571428571429
Memory usage close to limits,27,3.857142857142857
Out-of-memory kills,27,3.857142857142857
Failed database connects,26,3.7142857142857144
User action duration degradation,25,3.5714285714285716
Multiple application problems,24,3.4285714285714284
Backoff event,22,3.142857142857143
Juniper Routing Engine high temperature,14,2.0
Cisco Memory Free critical low,14,2.0
Browser monitor global outage,11,1.5714285714285714
Process CPU problem.,8,1.1428571428571428
High CPU throttling,8,1.1428571428571428
Browser monitor local outage,7,1.0
Potential DDoS attack on the Oracle DB,7,1.0
Memory saturation,7,1.0
Mobile app error rate increase,6,0.8571428571428571
Mobile app crash rate increase,6,0.8571428571428571
Http monitor local outage,5,0.7142857142857143
Multiple service problems,3,0.42857142857142855
Custom application has unexpected drop in usage,2,0.2857142857142857
Host or monitoring unavailable,2,0.2857142857142857
AWS Lambda error rate (based on errorsSum and invocationsSum) [AWS],2,0.2857142857142857
Unexpected low load,1,0.14285714285714285

Alerting Profile,Problem Count,Problems/Day
ServiceNow Default Problem Notification Profile,528,75.42857142857143
Default,457,65.28571428571429
process_crash_autoremediation,162,23.142857142857142
deployment_change_autoremediation,94,13.428571428571429
cpu_saturation_alerting,7,1.0
DEM-MobileAppCrashIncrease,7,1.0

Entity,Entity Name,Problem Count,Problems/Day
SERVICE-F6BF5FFBC0DF309A,loadgenerator,95,13.571428571428571
CLOUD_APPLICATION-AB5A955FA0F3EC4E,frontend,50,7.142857142857143
APPLICATION-CB0200BF7867BEA0,www.angular.easytravel.com,39,5.571428571428571
SERVICE-65BDC31767096F4D,EasytravelService,35,5.0
SERVICE-EBEBD979AA8D93AA,"[alfa, beta][hipster-shop] hipstershop.AdService (grpc://hipstershop.AdService)",32,4.571428571428571
SERVICE-DAD9C23562B70097,easyTravel Customer Frontend,28,4.0
SERVICE-8F44FE226995B6FC,EasyTravelWebserver:8079,28,4.0
SERVICE-15A952450FC2173A,[Extensions][tomcat-connection-pools-demo] mysql,26,3.7142857142857144
CLOUD_APPLICATION-DACE52B9E2D2B330,unguard-user-auth-service,22,3.142857142857143
MOBILE_APPLICATION-21CB4989D0A546C7,easyTravel Mobile,22,3.142857142857143
APPLICATION-08EBD5603755FA87,www.easytravel.com,22,3.142857142857143
SYNTHETIC_TEST-2D82D48C9FCA6B8E,angular easytravel booking,21,3.0
SERVICE-B41FA3B7CC1AD9A4,EasyTravelBackendWebserver:8091,21,3.0
SERVICE-CD37B684C236BB6B,EasyTravelWebserver:9079,21,3.0
SERVICE-A1A359DA88BFB52C,[Extensions][tomcat-connection-pools-demo] minuteman (/minuteman),15,2.142857142857143
CUSTOM_DEVICE-4528F05FF64E4DEA,Juniper network device juniper#0 @ 192.168.2.23:161,14,2.0
